store,Sum of longitude,Sum of latitude
"McDonalds PlayPlace-Rialto,CA",-352.10749,102.30017
"McDonalds PlayPlace-Richmond,CA",-122.32181,37.98177
"McDonalds PlayPlace-Ridgecrest,CA",-117.66975,35.62351
"McDonalds PlayPlace-Riverside,CA",-586.941217,169.685891
"McDonalds PlayPlace-Rohnert Park,CA",-122.71189,38.34458
"McDonalds PlayPlace-Rosemead,CA",-236.18841,68.14311
"McDonalds PlayPlace-Rosemont,CA",-121.3364,38.55656
"McDonalds PlayPlace-Roseville,CA",-363.84959,116.27964
"McDonalds PlayPlace-Rowland Heights,CA",-117.87074,33.9865
"McDonalds PlayPlace-Rubidoux,CA",-117.435297,34.011121
"McDonalds PlayPlace-Sacramento,CA",-849.813985,270.149118
"McDonalds PlayPlace-Salida,CA",-121.07439,37.70078
"McDonalds PlayPlace-Salinas,CA",-121.65319,36.70469
"McDonalds PlayPlace-San Bernardino,CA",-586.480133,170.72436
"McDonalds PlayPlace-San Carlos,CA",-122.26566,37.51126
"McDonalds PlayPlace-San Clemente,CA",-117.61983,33.4397
"McDonalds PlayPlace-San Diego,CA",-2459.816077,689.080826
"McDonalds PlayPlace-San Fernando,CA",-236.87615,68.57945
"McDonalds PlayPlace-San Francisco,CA",-367.254,113.19376
"McDonalds PlayPlace-San Jacinto,CA",-116.971377,33.795269
"McDonalds PlayPlace-San Jose,CA",-974.96004,298.5543
"McDonalds PlayPlace-San Juan Capistrano,CA",-117.65975,33.49997
"McDonalds PlayPlace-San Leandro,CA",-122.13262,37.70792
"McDonalds PlayPlace-San Marcos,CA",-234.326499,66.29575
"McDonalds PlayPlace-San Pablo,CA",-244.6696,75.92963
"McDonalds PlayPlace-San Pedro,CA",-118.29243,33.74141
"McDonalds PlayPlace-San Ramon,CA",-121.9438,37.72712
"McDonalds PlayPlace-San Ysidro,CA",-117.05824,32.55729
"McDonalds PlayPlace-Sanger,CA",-119.557183,36.711652
"McDonalds PlayPlace-Santa Ana,CA",-589.40486,168.59977
"McDonalds PlayPlace-Santa Barbara,CA",-119.752392,34.440601
"McDonalds PlayPlace-Santa Clara,CA",-243.95243,74.69024
"McDonalds PlayPlace-Santa Clarita,CA",-237.01762,68.86178
"McDonalds PlayPlace-Santa Maria,CA",-361.307924,104.81037
"McDonalds PlayPlace-Santa Monica,CA",-236.93381,68.03055
"McDonalds PlayPlace-Santa Nella,CA",-121.01567,37.10012
"McDonalds PlayPlace-Santee,CA",-116.9838,32.83797
"McDonalds PlayPlace-Seaside,CA",-121.85606,36.60804
"McDonalds PlayPlace-Selma,CA",-119.625711,36.576447
"McDonalds PlayPlace-Sherman Oaks,CA",-118.4361,34.14887
